ประเภษ,THP,USP,EUHM,รายการโรค,Test 70,Test 40,Test 80,ซื่อวัตถุ,ชื่อวิทยาศาสตร์ ,ซื่อวงศ์/อื่น,ลักษณะและชนิด,ส่วนที่ใช้,เย็น,ร้อน,สขุม,ฝาด,หวาน,ขม,เผ็ด,มัน,หอม,เค็ม,เปรี้ยว,เมา,เบื่อ,จืด,อื่น,สรรพคุณ,สารสาคัญและฤทธิ์ทางเภสัชวิทยา,วิธีใช้,ข้อห้าม หรือ ควรระวัง,ฮื่นๆ,MEdchinA
ต้น,,,,,,,,สันพร้าหอม,,,,ทั้งต้น,,,●,,,,,,●,,,,,,,แก้ไข้แก้ปวดหัวตัวร้อน เป็นยาหอมชูกำดัง กระตุ้นกำหนัด ขับเหงื่อ แก้ท้องอืด แก้ลมหายใจมีกลิ่นเหม็น,,,,,
ต้น,,,,,,,,สันพร้าหอม,,,,ใบ,●,,,,,,,,,,,,,●,,แก้ไข้พิษ บำรุงหัวใจ แก้ไข้หวัด ถอนพิษไข้,,,,,
ต้น,,,,,,,,สันพร้าหอม,,,,ราก,,●,,,,,,,●,,,,,,,ต้มดื่มแก้พิษ แก้ระดูมาไม่เป็นปรกติ,,,,,
ต้น,,,,,,,,สารพัดพิษ,Sophora tomentosa เ-,Leguminosae,ไม้ล้มลุกที่มีอายุนาน 20-30 ปีลำต้นแตกกิ่งเป็นทรงพุ่ม,ผล,●,,,,,,,,,,,,,,เฝื่อน,แก้ไข้เซื่องซีม แก้ไข้กสับซา แก้ไข้เซื่องซีม แก้พิษไข้ ใช้บดทารักษาฟิหนอง,,,,,
ต้น,,,,,,,,สารพัดพิษ,Sophora tomentosa เ-,Leguminosae,ไม้ล้มลุกที่มีอายุนาน 20-30 ปีลำต้นแตกกิ่งเป็นทรงพุ่ม,ราก,●,,,,,,,,,,,,,,,ใช้ทาแก้แก้พิษงูพิษแมลงป่อง และตะขาบต่อย ใช้ทาแก้ปวดแสบใช้ทาผิวบริเวณร้อนใน แก้ปวดแสบปวดร้อน,,,,,
ต้น,,,,,,,,สุรามฤต/ สุรามริด,innamomum subavenium Miq.,LAURACEAE,ไมต้นขนาดเล็ก ใบเดี่ยว เรียงตรงข้ามหรือเส้นใบออกจากโคน ใบ3เส้น ดอกช่อแยกและปลายกิ่ง,น้ำมันจากใบ,,●,,,,,,,,,,,,,,ทาถูนวด แก้ฟกชํ้า แก้ปวดเมื่อย ลมขัดข้อ เส้นกระตุก แก้ท้องอืด,,,,,
ต้น,,,,,,,,สุรามฤต/ สุรามริด,innamomum subavenium Miq.,LAURACEAE,ไมต้นขนาดเล็ก ใบเดี่ยว เรียงตรงข้ามหรือเส้นใบออกจากโคน ใบ3เส้น ดอกช่อแยกและปลายกิ่ง,ราก,,●,,,,,,,●,,,,,,,แก้อ่อนเพลีย ขับลม แก้จุกเสียดแน่นเฟ์’อ บำรุงธาตุ,,,,,
ต้น,,,,,,,,สุรามฤต/ สุรามริด,innamomum subavenium Miq.,LAURACEAE,ไมต้นขนาดเล็ก ใบเดี่ยว เรียงตรงข้ามหรือเส้นใบออกจากโคน ใบ3เส้น ดอกช่อแยกและปลายกิ่ง,ลำต้น,,●,,,,,,,●,,,,,,,แก้อ่อนเพลีย ขับลม แก้จุกเสียดแน่นเฟ์’อ บำรุงธาตุ,,,,,
ต้น,,,,,,,,สุรามฤต/ สุรามริด,innamomum subavenium Miq.,LAURACEAE,ไมต้นขนาดเล็ก ใบเดี่ยว เรียงตรงข้ามหรือเส้นใบออกจากโคน ใบ3เส้น ดอกช่อแยกและปลายกิ่ง,เปลือกไม้,,●,,,,,,,●,,,,,,,แก้ท้องเดินและแก้ไข้มาลาเรีย แช่หล้าทำให้เหล้าแรงชื่น,,,,,
ต้น,,,,,,,,แสมทะเล,,,,แก่น,,,,,,●,,,,●,,,,,เฝื่อน,ขับลมในกระดูก ขับโลหิตประจำเดืชินสตรีขับถ่ายโลหิตระดูสตรีให้ปกติ แก้กระษัย,,,,,
ต้น,,,,,,,,แสมสาร,,,,แก่น,,,,,,●,,,,,,,,,กร่อย,ระบายถ่ายเสมหะ ถ่ายกระษัย โลหิตระดูสตรี ทำให้เส้นเอ็นอ่อน,,,,,
ต้น,,,,,,,,หม่อน,,,,ใบ,,,,,,,,,,,,●,,,,แก้ตาแดง ตาแฉะ ตาฟาง แก้ไอ ระงับประสาท,,,,,
ต้น,,,,,,,,หมากผู้,Cordyline fruticosa (L. ) A.Chev.,ASPARAGACEAE & LOMANDROIDEAE,ไมีพ่เทสิก,ใบ,,,,,,,,,,,,,,●,,แก้ไข้ตัวร้อน หัด เหือด สุกใส ดำแดง ต้มอาบแก้คันตามผิวหนัง,,,,,
ต้น,,,,,,,,หมากผู้,Cordyline fruticosa (L. ) A.Chev.,ASPARAGACEAE & LOMANDROIDEAE,ไมีพ่เทสิก,ราก,,,,,,,,,,,,,,,,ต้มเอานาอม แก้ฟันผุแก้สารปรอทกิน (ฟัน),,,,,
ต้น,,,,,,,,หมากเมีย,,,,ใบ,●,,,,,,,,,,,,,,เฝื่อน,แก้ไข้ แก้ไข้หัวในเด็ก ต้มลี่มช่วยลดความร้อนในร่างกาย ต้มอาบแก้คัน,,,,,
ต้น,,,,,,,,หมากเมีย,,,,ลูก,,,,●+,,,,,,,,,,,,แก้ท้องร่วง แก้อาเจียน ขับเหงื่อ ฝนทาปากแก้ปากเชื่อยให้สัตว์กินขับพยาธิ,,,,,
ต้น,,,,,,,,หมากเมีย,,,,ราก,●,,,●,,,,,,,,,,,,แก้ร้อนในกระหายพา,,,,,
ต้น,,,,,,,,หวายตะค้า,Calamus caesiusBlume,Palmae,เป็นพึชใบเจยงเดี่ยว พวกปาลํมเจอย (climbing palm)ซึ่งลำต้นเป็นเป็นเถาเนอแข็งเจอยทอดไปตามดิน,เถา,●,,,,,,,,,,,,,,,แก้พิษร้อนไข้พิษไข้กาฬ แก้ชักเพราะความร้อนสูง แก้สลบ แก้หอบ แก้สิ้นกระด้างคาง แข็งเพราะพิษไข้สุมไฟทำต่าง รสเย็นรัด,,,,,
ต้น,,,,,,,,หัสคุณเทศ (สมัดน้อย),,,,เปลือกต้น,,●,,,,,,,,,,,,,,ขับสมในลำไส้ให้กระจาย,,,,,
ต้น,,,,,,,,หัสคุณเทศ (สมัดน้อย),,,,เนื้อไม้้,,●,,,,,,,,,,,,,,ขับสมในท้องให้กระจาย ทำให้ผายเรอ,,,,,
ต้น,,,,,,,,หัสคุณเทศ (สมัดน้อย),,,,เมล็ด,,●,,,,,,,●,,,,,,,ทำให้อุจจาระไม่เกาะลำไส้,,,,,
ต้น,,,,,,,,หัสคุณเทศ (สมัดน้อย),,,,กระพี้,,●,,,,,,,,,,,,,,ขับโลหิตในลำไส้,,,,,
ต้น,,,,,,,,หัสคุณเทศ (สมัดน้อย),,,,ราก,,●,,,,,,,,,,,,,,แก้ริดสีดวงจมูก,,,,,
ต้น,,,,,,,,หัสคุณไทย (สมัดใหญ่),,,,ต้้น,,●,,,,,,,,,,,,,,ขับลมในลำไส้ ขับไส้เดือน,,,,,
ต้น,,,,,,,,หัสคุณไทย (สมัดใหญ่),,,,ใบ,,●,,,,,,,,,,,,,,แก้ปวดท้อง เลียดแทง แก้หืดไอ,,,,,
ต้น,,,,,,,,หัสคุณไทย (สมัดใหญ่),,,,ดอก,,●,,,,,,,,,,,,,,ขับเสมหะให้ลงสู่ทวารหนัก,,,,,
ต้น,,,,,,,,หัสคุณไทย (สมัดใหญ่),,,,ผล,,●,,,,,,,,,,,,,เอียน,ขับเสมหะให้ลงสู่ทวารหนัก,,,,,
ต้น,,,,,,,,หัสคุณไทย (สมัดใหญ่),,,,ราก,,●,,,,,,,,,,,,,,ขับเลือดและหนองให้ออก แก้คุดทะราด แก้ริดลีดวงรมูก,,,,,
ต้น,,,,,●,,,เหงือกปลาหมอ,,,,ทั้ง5,,●,,,,,,,,●,,,,,,แก้ไข้หัว แก้พิษกาฬได้ดีมาก,,,,,
ต้น,,,,,,,,เหงือกปลาหมอ,,,,ใบ,,●-,,,,,,,,,,,,,,ตำพอกรักษาโรคปวดบวมและแผลอักเสบ,,ต้นมัดตำให้ละเอียด พอกปิดแผลเร้อรัง ถอนพิษ รับประทานแก้พิษ'ผีดาษ เป็นยาอัดรากผีใช้ทั้ง 5 รสร้อน สรรพคุณ แก้ไข้หัว แก้พาฟิแก้พิษกาฬไค้ดีมาก,,,
ต้น,,,,,,,,เหงือกปลาหมอ,,,,ลูก,,●,,,,,,,,,,,,,,ขับโลหิตอย่างแรง แก้'ผีตานซาง,,ต้นมัดตำให้ละเอียด พอกปิดแผลเร้อรัง ถอนพิษ รับประทานแก้พิษ'ผีดาษ เป็นยาอัดรากผีใช้ทั้ง 5 รสร้อน สรรพคุณ แก้ไข้หัว แก้พาฟิแก้พิษกาฬไค้ดีมาก,,,
ต้น,,,,,,,,เหงือกปลาหมอ,,,,ราก,,,,,,,,,,●,,,,,เฝื่อน,แก้พาไข้หัวผื่นอัน แก้โรคผิวหนังทุกชนิด,,ต้มอาบ ต้นมัดตำให้ละเอียด พอกปิดแผลเร้อรัง ถอนพิษ รับประทานแก้พิษ'ผีดาษ เป็นยาอัดรากผีใช้ทั้ง 5 รสร้อน สรรพคุณ แก้ไข้หัว แก้พาฟิแก้พิษกาฬไค้ดีมาก,,,
ต้น,,,,,,,,เหมอดคน,Heliciopsis terminalis Sleum,PROTEACEAE,เป็นไม้ด้นขนาดกลางลึงขนาดใหญ่สูงประมาณ 10-20 เมตร,ราก,,,●,,,,,,,,,,,,,แก้พิษ ดับพิษร้อน ถอนพิษผิดสำแดง แก้ไข้กลับซา ไข้พิษ ไข้หวัด ไข้หัด ไข้ปอดบวม ฝนกับนํ้าหรือต้มดื่ม ถอนพิษยาเมาเบื่อ แก้เมาเห็ดเมาหอย,,,,,
ต้น,,,,,,,,เหมอดคน,Heliciopsis terminalis Sleum,PROTEACEAE,เป็นไม้ด้นขนาดกลางลึงขนาดใหญ่สูงประมาณ 10-20 เมตร,เนื้อไม้,,,●,,,●-,,,,,,,,,,แก้ไข้คับพิษร้อน ถอนพิษผิดสำแดง,,,,,
ต้น,,,,,,,,เหมอดคน,Heliciopsis terminalis Sleum,PROTEACEAE,เป็นไม้ด้นขนาดกลางลึงขนาดใหญ่สูงประมาณ 10-20 เมตร,เปลือกต้น,,,,●,,,,,,,,,,,,ต้มล้างตาแก้เจ็บตา ดื่มให้อาเจียน กรณีที่กินอาหารเป็นพิษ,,,,,
ต้น,,,,,,,,แห้ว,Cyperus escuientus Linn.,Cyperaceae,พืชล้มลุก รำพวกกก สำต้นเกลี้ยง เด็ก เป็นสามเหลี่ยม แข็งและตั้งตรง สูง 10-50 ซม.—,ใบ,●,,,●,,,●,●,,,,,,,,ตำพอกแก้ปวดเหงือก ปวดฟัน,,,,,
ต้น,,,,,,,,แห้ว,Cyperus escuientus Linn.,Cyperaceae,พืชล้มลุก รำพวกกก สำต้นเกลี้ยง เด็ก เป็นสามเหลี่ยม แข็งและตั้งตรง สูง 10-50 ซม.—,หััว,,,,●,●,,,,●,,,,,,,แก้ร้อนในกระหานํ้า บำรุงธาตุขับนานก สมานแผลในทางเดินอาหาร กระตุ้นการทำงานของร่างกาย,,,,,
ต้น,,,,,,,,โหระพา,Ocimum medium Mill.,LABIATAE,ไม้ลมลุก สูงถึง 1 เมตร ทุกส่วนมึกลื่นหอมเฉพาะตัวใบเตี่ยว เรึยงตรงขาม รูปไข่รูปวงรึปลายใบแหลม โคนใบสอบ,ใบ,,,,,,,●,,●,,,,,,ปร่า,แก้ท้องขึ้นอึด เพ้อ แก้ลมวิงเวียน ช่วยย่อยอาหาร ขับลมในลำไส้ขับเสมหะ ตำพอก แก้พิษคางคก พิษไส้เดือน แผลอักเสบ ประคบแก้ไขข้ออักเสบ,,,,,
ต้น,,,,,,,,โหระพา,Ocimum medium Mill.,LABIATAE,ไม้ลมลุก สูงถึง 1 เมตร ทุกส่วนมึกลื่นหอมเฉพาะตัวใบเตี่ยว เรึยงตรงขาม รูปไข่รูปวงรึปลายใบแหลม โคนใบสอบ,ทั้งต้้น,,,,,,●,●,,●,,,,,,ปร่า,แก้ไข้แก้พิษฟิแก้หลอดลมอักเสบ แก้พิษตานชาง แก้เด็กนอนสะดุ้งผวา,,,,,
ต้น,,,,,,,,โหระพา,Ocimum medium Mill.,LABIATAE,ไม้ลมลุก สูงถึง 1 เมตร ทุกส่วนมึกลื่นหอมเฉพาะตัวใบเตี่ยว เรึยงตรงขาม รูปไข่รูปวงรึปลายใบแหลม โคนใบสอบ,เมล็ด,●,,,,,,,,●,,,,,,ปร่า,แก้ไอ ขับเสมหะ ขับพยาธิขับนํ้าเหลืองเสึย แช่นํ้ารับประทานช่วยขับถ่าย,,,,,
ต้น,,,,,,,,อบเชยเทศ,Cinnamomum spp.,LAURACEAE,เป็นไม้ฅ้นขนาดกลางถึงขนาดใหญ่สงประมาณ 10-20 เมดร,ราก,,,●,,,,,,●,,,,,,,แก้ลมอมพฤกษ์ปลุกธาตุยันคบให้เจริญ แก้ฟิษร้อน แก้ไข้สันนาต,,,,,
ต้น,,,,,,,,อบเชยเทศ,Cinnamomum spp.,LAURACEAE,เป็นไม้ฅ้นขนาดกลางถึงขนาดใหญ่สงประมาณ 10-20 เมดร,เปลือกต้น,,,,,●,,●,,,,,,,,,แก้ลมอณฑพฤกษ์ปลุกธาตุยันคบให้เจริญ แก้ไข้สันนิบาต แก้อ่อนเพลีย ขับผายลม,,,,,
ต้น,,,,,,,,อบเชยไทย,Cinnamomum bejolghota(Buch.-Ham.) Sweet,LAURACEAE,เป็นไม้ฅ้นขนาดกลางถึงขนาดใหญ่สงประมาณ 10-20 เมดร,ราก,,,●,,,,,,●,,,,,,,แก้ไข้'จาการอักเสบหลังคลอด ขับลม บำรุงธาตุแก้สองอีคเ'ฟ้อ,,,,,
ต้น,,,,,,,,อบเชยไทย,Cinnamomum bejolghota(Buch.-Ham.) Sweet,LAURACEAE,เป็นไม้ฅ้นขนาดกลางถึงขนาดใหญ่สงประมาณ 10-20 เมดร,ใบ,,,●,,,,,,●,,,,,,,บำรุงดวงจิตร แก้อ่อนเลีย ทำให้มีกำลังขับผายลม บำรุงธาตุแก้บิด แก้ไข้สันนิบาต ใช้ปรุงยาน้ตถุแก้ปวดศึรษะ,,,,,
พืชจำพวกต้น,,,,,,,,กรรณิการ์,Nyctanthes arbor-tristis L.,NIGHT BLOOMING JASMINE NIGHT JASMINE,,ต้น,●,,,,,●,,,,,,,,,,แก้ปวดศึรษะ,,,,https://s3.amazonaws.com/thai-heallth/  https://www.bloggang.cam/mainblag.php7id=fa5aiwonmai&Tranth=13-03-2Gl6&group=2&gblog=767,
พืชจำพวกต้น,,,,,,,,กรรณิการ์,Nyctanthes arbor-tristis L.,NIGHT BLOOMING JASMINE NIGHT JASMINE,,ใบ,,,,,,●,,,,,,,,,,บำรุงน้ำดี,,,,https://s3.amazonaws.com/thai-heallth/  https://www.bloggang.cam/mainblag.php7id=fa5aiwonmai&Tranth=13-03-2Gl6&group=2&gblog=767,
พืชจำพวกต้น,,,,,,,,กรรณิการ์,Nyctanthes arbor-tristis L.,NIGHT BLOOMING JASMINE NIGHT JASMINE,,ดอก,,,,,●,●,,,,,,,,,,แก้ไข แก้ลมวิงเวียน,,,,https://s3.amazonaws.com/thai-heallth/  https://www.bloggang.cam/mainblag.php7id=fa5aiwonmai&Tranth=13-03-2Gl6&group=2&gblog=767,
พืชจำพวกต้น,,,,,,,,กรรณิการ์,Nyctanthes arbor-tristis L.,NIGHT BLOOMING JASMINE NIGHT JASMINE,,ราก,,,,,,●,,,,,,,,,,แก้ท้องผูก บำรุงธาตุ บำรุงกำลัง บำรุงเส้นผมให้ดกดำ บำรุงผิวหนังให้สดชื่น,,,,https://s3.amazonaws.com/thai-heallth/  https://www.bloggang.cam/mainblag.php7id=fa5aiwonmai&Tranth=13-03-2Gl6&group=2&gblog=767,
สมุนไพร,,,,,,,,กระเจี้ยบแดง,Hibiscus sabdariffa L.,"RED SORREL, ROSELLE",,ใช้ทั้ง 5,,,,,,,,,,,,,,,,แก้พยาธิตัวจี๊ด,,,,,
สมุนไพร,,,,,,,,กระเจี้ยบแดง,Hibiscus sabdariffa L.,"RED SORREL, ROSELLE",,เมล็ดใน,,,,,,,,,,,,,,●,เป็นเมือก,แก้อ่อนเพลีย บำรุงกำลัง บำรุงธาตุ,,,,,
สมุนไพร,,,,,,,,กระเจี้ยบแดง,Hibiscus sabdariffa L.,"RED SORREL, ROSELLE",,ผล,,,,,,,,,,,,●-,,●,,ขับเหงื่อ แก้ร้อนภายใน,,,,,
สมุนไพร,,,,อาการขัดเบา,,,,กระเจี้ยบแดง,Hibicus sabdariffa,,,กลีบเลี้ยงและกลีบรองดอก,,,,,,,,,,,,,,,,มีฟทธิ์ขับปัสสาวะ,,ดอกตากแห้งและบดเป็นผง ใช้ครั้งละ 1 ช้อนชา ชงกับน้ำเดือด 1ถ้วย ทิ้งไว้ 5-10 นาที รินเฉพาะน้ำสีแดงใส ดื่มวันละ 3 ครั้ง ติดต่อกน,,,
สมุนไพร,,,,ท้องอืด ท้องเฟ้อ และแน่นจุกเสียด,,,,กระชาย,Boesenbergia pandurata,,เหง้า ประมาณคร่ึงกำมือ บุบพอแหลกต้ม เอาน้ำดื่มเวลามีอาการ,เหง้าใต้ดินและราก,,,,,,,,,,,,,,,,,"1,5-Cineol, Boesenbergin A เป็นต้น สารจากเหง้า กระชายมีประสิทธิ์ภาพในการยับยั้งเชื้อแบคทีเรีย น้ำมันหอมระเหยช่วยขับลม ช่วยให้กระเพาะและลำไส้เคลื่อนไหว",เหง้า ประมาณคร่ึงกำมือ บุบพอแหลกต้ม เอาน้ำดื่มเวลามีอาการ,,,
สมุนไพร,,,,ท้องอืด ท้องเฟ้อ และแน่นจุกเสียด,,,,กระทือ,Zingiber zerumbet,,,หัวหรือเหง้าแก่สด,,,,,,,,,,,,,,,,เหง้าขนาดเท่าแม่มือ 2 หัว นำมาย่างไฟ พอสุกตากับน้ำปูนใส คั้นอ้ำดื่มเวลามีอาการ,"Methyl-gingerol, Zingerone, Zerumbone, Citral",เหง้าขนาดเท่าแม่มือ 2 หัว นำมาย่างไฟ พอสุกตากับน้ำปูนใส คั้นอ้ำดื่มเวลามีอาการ,,,
สมุนไพร,,,,ท้องอืด ท้องเฟ้อ และแน่นจุกเสียด,,,,กระเทียม,Allium sativum,,,หัวใต้ดิน,,●,,,,,●,,,,,,,,,เป็นยาขับลมในลำไส้ แก้กลากเกลื้อน,,รับประทานกระเทียมสดครั้งละ 5-7 กลีบ หลังอาหาร หรือเวลามีอาการ,,,
สมุนไพร,,,,โรคกลากเกลื้อน,,,,กระเทียม,Allium sativum,,,หัวใต้ดิน,,,,,,,,,,,,,,,,,,ตำคั้นน้ำทาบริเวณที่เป็น ทาบ่อยๆ หรือวันละ 3-4 ครั้ง เมื่อหายแล้ว ทาต่ออีก 7 วัน,,,
สมุนไพร,,,,ท้องอืด ท้องเฟ้อ และแน่นจุกเสียด,,,,กระวานไทย,Amomum krervonh,,เอาเมล็ดบดเป็นผงรับประทานครั้งละ 1.5-3 ช้อนชา ชงกับน้ำอุ่น,เมล็ดแก่แห้ง,,,,,,,,,,,,,,,,,"Borneol, Camphor, 1-8 Cineol, Linalool เป็นต้น มีฤทธิ์ขับลม ลดการบีบตัวของลำไส",เอาเมล็ดบดเป็นผงรับประทานครั้งละ 1.5-3 ช้อนชา ชงกับน้ำอุ่น,,,
สมุนไพร,,,,กระเพาะอาหาร,,,,กล้วย,Musa sapientum (Moraceae),,,ผลกล้วยดิบ/ห่าม,,,,●,,,,,,,,,,,ฟทธิ์ฝาดสมาน,,,กล้วยน้ำว้าห่ามรับประทานครั้งละ ½ -1ผล หรือใช้กล้วยน้้าว้าดิบฝานเป็นแว่นตากแดดใหแห้งบดเป็นผงชงน้ำดื่มครั้งละ½ -1ผล หรือบดเป็นผงป้ันเป็นยาลูกกลอนรับประทานครั้งละ4เม็ด วันละ 4 ครั้ง ก่อนอาหารและก่อนนอน รับประทานแลว้ อาจมีอาการท้องอืดเฟ้อ ป้องกันได้โดยใช้ร่วมกับยาขับลม เช่น น้ำขิง เป็นต้น,,,
สมุนไพร,,,,ท้องเสีย,,,,กล้วยน้ำว้า,Musa sapientum,,กล้วยน้ำว้าห่ามรับประทานครั้งละ ½ -1ผล กล้วยน้ำว้าดิบ ฝานเป็นแว่นตากแดดให้แห้ง บดเป็นผงชงน้ำดื่มครั้งละ½ -1ผล หรือบดเป็นผงปั้นเป็นยาลูกกลอน รับประทานครั้งละ 4 เม็ด วันละ 4 ครั้งก่อนอาหาร และก่อนนอน รับประทานแลว้ อาจมีอาการทอ้ งอืดเฟ้อ ป้องกนั ไดโ้ ดยใชร้ ่วมกับยาขบั ลม เช่น น้ำขิง เป็ นต้น,ลูกดิบ หรือลูกห่าม,,,,●,,,,,,,,,,,,,ฟทธิ์ฝาดสมาน,"กล้วยน้ำว้าห่ามรับประทานครั้งละ ½ -1ผล กล้วยน้ำว้าดิบ ฝานเป็นแว่นตากแดดให้แห้ง บดเป็นผงชงน้ำดื่มครั้งละ½ -1ผล หรือบดเป็นผงปั้นเป็นยาลูกกลอน รับประทานครั้งละ 4 เม็ด วันละ 4 ครั้งก่อนอาหาร
และก่อนนอน รับประทานแลว้ อาจมีอาการทอ้ งอืดเฟ้อ ป้องกนั ไดโ้ ดยใชร้ ่วมกับยาขบั ลม
เช่น น้ำขิง เป็ นต้น",,,
สมุนไพร,,,,ท้องอืด ท้องเฟ้อ และแน่นจุกเสียด,,,,กะเพรา,Ocimum tenuiflorum,,ใบและยอดกะเพรา 1 กำมือ ต้มเอาน้ำดื่มเหมาะสาหรับแก้เด็กท้องอืด,ใบสมบูรณ์เต็มที่,,●,,,,,●,,,,,,,,,แก้ปวดท้อง ท้องขึ้น จุกเสียด,,ใบและยอดกะเพรา 1 กำมือ ต้มเอาน้ำดื่มเหมาะสาหรับแก้เด็กท้องอืด,,,
สมุนไพร,,,,ท้องอืด ท้องเฟ้อ และแน่นจุกเสียด,,,,กานพลู,Eugenia caryophyllus,,,ดอกตูม,,,,,,,,,,,,,,,,,"Eugenol, Acetyl eugenol, Eugenol acetate เป็นต้น สารEugenol มีฟทธิ์ลดการบีบตัวของลำไส้ ช่วยขับน้ำดี ลดอาการจุกเสียด และช่วยฆ่าเชื้อแบคทีเรีย",ดอกแห้ง5-8 ดอก ต้มน้ำดื่ม หรือบดเป็นผงชงน้ำดื่ม,,,
สมุนไพร,,,,ปวดฟัน,,,,แก้ว,Murraya paniculata,,ใบแก้วรักษาอาการปวดฟัน โดยใช้ใบสดตำพอแหลกแช่เหล้าโรงในอัตราส่วน 1.5 หรือ 1 กรัม ต่อเหล้าโรง 1 ช้อนชา (5 มิลลิลิตร) และเอาน้ำยาที่ได้มาทาบริเวณที่ปวด,ใบสด,,,,,,,,,,,,,,,,,,ใบแก้วรักษาอาการปวดฟัน โดยใช้ใบสดตำพอแหลกแช่เหล้าโรงในอัตราส่วน 1.5 หรือ 1 กรัม ต่อเหล้าโรง 1 ช้อนชา (5 มิลลิลิตร) และเอาน้ำยาที่ได้มาทาบริเวณที่ปวด,,,
สมุนไพร,,,,ปวดฟัน,,,,แก้ว,"Murraya paniculata (L.) Jack, Chalcas paniculata L.","Manglove, American/Red Manglove",ไม้ยืนต้นขนาดใหญ่ มีรากเสริมออกมาเหนือโคนต้น,เปลือกต้น,,,,●,,,,,,●,,,,,,ห้ามโลหิด สมานแผล แก้ท้องร่วง แก้บิด/อติสาร(ลงแดง),,,,,
สมุนไพร,,,,ฝี แผลพุพอง,,,,ขมิ้น,Curcuma longa,,,เหง้าสดและแห้ง,,,,,,,,,,,,,,,,,,นำเหง้าขมิ้นยาวประมาณ 2 นิ้วฝนกับน้ำต้มสุกทาบริเวณที่เป็น หรือใช้ผงขมิ้นโรยทาบริเวณที่มีอาการผื่นคัน ใช้วันละ 3 ครั้ง,,,
สมุนไพร,,,,,,,●,ขมิ้นเครือ,,,,ราก,,,,●,,,,,,,,,,,เฝื่อน,แก้ลมอัมพฤกษ์ บำรุงน้ำเหลือง,,,,,
สมุนไพร,,,,กระเพาะอาหาร,,,,ขมิ้นชัน,Curcuma longa(Zingiberaceae),,,เหง้าสดและแห้ง,,,,,,,,,,,,,,,,,"Turmerone, Zingiberene, Borneol เป็นต้น และมีสารสีเหลืองส้มคือ Curcumin มีฟทธิ์ป้องกนั การเกิดแผลในกระเพาะ",บดเป็นผงให้ละเอียด รับประทานครั้งละ 0.5- 1 กรัม วันละ 4 ครั้ง หลังอาหารและก่อนนอน ยาลูกกลอน บดให้ละเอียดผสมน้ำผ้ึง รับประทานครั้งละ 2-3 เม็ดวันละ 4 ครั้ง หลังอาหารและก่อนอน ยาแคปซูล บดให้ละเอียดบรรจุ 250 มิลลิกรัมต่อแคปซูล รับประทานครั้งละ /แคปซูล วันละ 4 ครั้ง หลังอาหารและก่อนนอน,,,
สมุนไพร,,,,กระเพาะอาหาร,,,●,ขมิ้นชัน,Curcuma longa(Zingiberaceae),,,หัว,,,,●,,,,,,,,,,,เอียน,แก้โรคผิวหนัง แก้เสมหะ โลหิต,"Turmerone, Zingiberene, Borneol เป็นต้น และมีสารสีเหลืองส้มคือ Curcumin มีฟทธิ์ป้องกนั การเกิดแผลในกระเพาะ",บดเป็นผงให้ละเอียด รับประทานครั้งละ 0.5- 1 กรัม วันละ 4 ครั้ง หลังอาหารและก่อนนอน ยาลูกกลอน บดให้ละเอียดผสมน้ำผ้ึง รับประทานครั้งละ 2-3 เม็ดวันละ 4 ครั้ง หลังอาหารและก่อนอน ยาแคปซูล บดให้ละเอียดบรรจุ 250 มิลลิกรัมต่อแคปซูล รับประทานครั้งละ /แคปซูล วันละ 4 ครั้ง หลังอาหารและก่อนนอน,,,
สมุนไพร,,,,อาการขัดเบา,,,,ขลู่,Pluchea indica,,,ใช้ส่วนของต้นที่อยู่เหนือดิน ทั้งสดและแห้ง,,,,,,,,,,,,,,,,อาการขัดเบา,,วันละ 1 กำมือ หั่นเป็นชิ้นๆ ต้มกับน้ำดื่ม วันละ 3 ครั้ง ก่อนอาหาร ครั้งละ 1 ถ้วยชา,,,
สมุนไพร,,,,,,,●,ขลู่,Pluchea indica,,,ใบ,●,,,,,,,,●,,,,,,,คัวให้เกรียม ชงกินกับน้ำ บปัสสาวะ แก้กระหายน้ำ,,วันละ 1 กำมือ หั่นเป็นชิ้นๆ ต้มกับน้ำดื่ม วันละ 3 ครั้ง ก่อนอาหาร ครั้งละ 1 ถ้วยชา,,,
สมุนไพร,,,,ปวดฟัน,,,,ข่อย,Streblus asper,,ใช้เปลือกต้นสดขนาดประมาณ 1 ฝ่ามือ สับเป็นชิ้นต้มกับน้ำพอควรใส่เกลือเล็กน้อย ต้มนาน 10-15 นาที เอาน้ำมาอมบ่อยๆ,เปลือกต้นสด,,,,,,,,,,,,,,,,,,ใช้เปลือกต้นสดขนาดประมาณ 1 ฝ่ามือ สับเป็นชิ้นต้มกับน้ำพอควรใส่เกลือเล็กน้อย ต้มนาน 10-15 นาที เอาน้ำมาอมบ่อยๆ,,,
